video_id,title,published,viewCount,likeCount,dislikeCount
_VE6WRCEiAg,☕조용한 카페에서 흐르는 감성 음악 #12 🎶 Vol.35  | 🎵 Relaxing Cafe Music for a Peaceful Moment #coffeemusic,2025-06-05,50,0,0
0fktjxMfWbk,"Vol.35 A cup of coffee, and this perfect music ☕ 커피 한 잔, 그리고 이 음악 🎶",2025-06-05,230,0,0
IXS8NH3Xyv8,☕ 최고의 힐링 카페 음악 | 커피마실 때 음악 | 🎷Healing Cafe Music | Soft & Cozy Background for Relaxation,2025-06-04,96,1,0
J0sjo6WNCaU,Relax with Healing Cafe Music ☕ 힐링 카페 음악으로 여유로운 시간 #senamusicstudio #cozymusic  #jazz #cafemusic,2025-06-04,217,0,0
HFRoB0uc_QE,Relax with Healing Cafe Music ☕ 힐링 카페 음악으로 여유로운 시간 #senamusicstudio #cozymusic  #jazz #cafemusic,2025-06-04,154,0,0
zW7dkR6GVgM,Vol.19 🎧 When You Need a Moment of Emotional Recharge #senamusicstudio #cafemusic #cozysongs,2025-06-04,106,0,0
PVkJ7eQsc7U,Vol.36 Relax with Healing Cafe Music #☕02  힐링 카페 음악으로 여유로운 시간 #cozymusic  #jazz #cafemusic,2025-06-04,235,2,0
h4iQwHpYXkc,Vol.36 👉Romantic Jazz Moments 🎷#02 | 낭만이 필요할 때 재즈 #senamusicstudio #jazz #jazzbarvibes #cozymusic,2025-06-04,83,0,0
GAPiiXvPxd4,"""What Was I Made For?"" - Billie Eilish (Cover by Sena) #lyrics #music #cover #kpop #song",2025-06-03,1152,3,0
rzfVQLi2Ke8,Rock’n’Roll Vibes from the 1950s | Retro Café Music #04 🎶 1950년대의 락앤롤 감성,2025-06-02,241,4,0
JR-EY0iW2iE,🎸 Feel the 1950s Rock'n'Roll Vibes! 🎶🔥 #senamusicstudio,2025-06-02,159,0,0
9ce9ntaOlrk,"[Playlist] Relaxing Jazz & Instrumental Live Stream | Cozy Café Music for Work, Study & Relax ☕🎶",2025-06-02,18,0,0
QM8g30M_onI,"[Playlist] Relaxing Jazz & Instrumental Live Stream | Cozy Café Music for Work, Study & Relax ☕🎶",2025-06-02,0,0,0
LisOX0P4mJw,🎷 Live Now: Relaxing Jazz & Instrumental Café Music ☕🎶,2025-06-02,197,3,0
1WVI0sM6BOE,[Playlist] 🎶 9 Emotional Themes 🎶 Continuous Live Music Stream 【Ad-Free】 | Healing & Cozy Café Vibes,2025-06-02,75,0,0
vS9GGa8Zm5U,🎧 When You Need a Moment of Emotional Recharge  #senamusicstudio #cafemusic #cozysongs,2025-06-02,125,0,0
q-IV50XkG8U,🎸 Rock’n’Roll Vibes from the 1950s | Retro Café,2025-06-02,156,0,0
VGbiwNL8Zqs,🎧 When You Need a Moment of Emotional Recharge  #senamusicstudio #cafemusic #cozysongs,2025-06-01,207,1,0
cFt92o2ZHZA,Vol.30 👉Just Let It Play | Instrumental Café Music 커피엔 음악,2025-06-01,129,0,0
KIWa_T03Iyo,🎷☕ Romantic Jazz Moments 🎷#senamusicstudio #jazz#cozymusic,2025-06-01,520,5,0
grAK8fpZ1lI,🎷☕ Romantic Jazz Moments 🎷#senamusicstudio #jazz#cozymusic,2025-06-01,56,0,0
R8OxnWgCjGE,👉Romantic Jazz Moments 🎷 #senamusicstudio #jazz #jazzbarvibes #cozymusic,2025-05-31,89,0,0
PlfU66dNcYI,커피 마실 때 최고의 음악 | 최고의 힐링 음악 #11 | 🎷Jazz Music for Relaxation & Romance 🌙☕ 커피엔 재즈 #jazz,2025-05-31,62,0,0
81nbwM6LRm8,👉🎷Romantic Jazz Moments#senamusicstudio #jazz #jazzbarvibes #cozymusic,2025-05-31,193,0,0
NS_XBB8JmTM,🎷 Romantic Jazz Moments 🎷#senamusicstudio #jazz #jazzbarvibes #cozymusic,2025-05-30,302,1,0
XKjZ_JZ17jI,👉Romantic Jazz Moments 🎷 | 낭만이 필요할 때 재즈 #senamusicroom #jazz #jazzbarvibes #cozymusic,2025-05-30,185,0,0
DlgBAZdgzpw,👉Romantic Jazz Moments 🎷 | 낭만이 필요할 때 재즈 #senamusicstudio #jazz #jazzbarvibes #cozymusic,2025-05-30,282,0,0
wCeCpfDaUJ0,🎷최고의 힐링 카페 음악 ☕ #10 | 마음이 머무는 작은 카페 | Healing Cafe Music | Jazz Music for Relaxation & Romance🌙,2025-05-30,164,1,0
MgJpi8oQmPw,👉Romantic Jazz Moments 🎷#senamusicroom #jazz #jazzbarvibes #cozymusic,2025-05-30,133,0,0
QOXwUoavuvE,👉 Romantic Jazz Moments 🎷#senamusicroom #jazz #jazzbarvibes #cozymusic,2025-05-30,6,0,0
SQqxYNe7d1g,👉Romantic Jazz Moments 🎷 | 낭만이 필요할 때 재즈 #senamusicroom #jazz #jazzbarvibes #cozymusic,2025-05-30,161,0,0
sA8kgg8KGtw,🎷최고의 힐링 카페 음악 | 마음이 머무는 작은 카페 #09 | Healing Cafe Music | 커피엔 재즈 #jazz,2025-05-30,92,2,0
H1fFE3IyKxg,"Vol.32👉Instrumental Jazz for a Peaceful Moment 그냥 틀어두세요, 재즈 연주곡 [Jazz Music #05]",2025-05-29,153,0,0
9g_Yc3RTwhI,Vol.32👉 Instrumental Jazz for a Peaceful Moment 커피엔 재즈 #jazz,2025-05-29,90,0,0
Ty6I3BNyc7Q,Just Let It Play | 3 Hours of Calm & Emotional Music #cafemusic,2025-05-29,91,4,0
difRj9Dlhfo,Vol.31 👉Instrumental Jazz for a Peaceful Moment [연주곡]커피엔 재즈 #jazz,2025-05-28,159,0,0
61h4YBS5lMQ,"Soft Café Ballads for Your Mood #senamusicroom | 그냥 틀어두세요, 감성 충전이 필요할 때",2025-05-28,202,1,0
_94FAn_JQ9M,Vol.29 👉Just Let It Play | Instrumental Café Music [연주곡]커피엔 음악,2025-05-28,134,2,0
F7Xumoai9x0,"☕ Instrumental Café Music for a Cozy Moment | 그냥 틀어두세요, 연주곡",2025-05-28,394,0,0
B0kJHx_9J1Y,☕최고의 힐링 카페 음악 | 마음이 머무는 작은 카페 | 모닝 커피 음악 모음 #08 | Healing Cafe Music #coffeemusic,2025-05-28,33,0,0
tjNWvgOuvW8,Just Let It Play | Instrumental Jazz for a Peaceful Moment,2025-05-28,126,0,0
